date, pm10, o3, no2
2018/6/11, 32, 37, 29
2018/6/12, 31, 29, 22
2018/6/13, 24, 21, 23
2018/6/14, 20, 37, 31
2018/6/15, 23, 31, 35
2018/6/16, 30, 44, 31
2018/6/17, 30, 39, 20
2018/6/18, 28, 32, 30
2018/6/19, 27, 32, 27
2018/6/20, 25, 34, 32
2018/6/21, 30, 28, 29
2018/6/22, 27, 24, 20
2018/6/23, 16, 22, 15
2018/6/24, 15, 15, 13
2018/6/25, 13, 23, 22
2018/6/26, 26, 24, 20
2018/6/27, 27, 34, 17
2018/6/28, 16, 40, 21
2018/6/29, 23, 42, 25
2018/6/30, 21, 28, 11
2018/7/1, 13, 29, 11
2018/1/2, 35, 13, 28
2018/1/3, 17, 23, 21
2018/1/4, 12, 25, 23
2018/1/5, 15, 21, 29
2018/1/6, 18, 11, 33
2018/1/7, 25, 19, 13
2018/1/8, 12, 17, 30
2018/1/9, 27, 14, 30
2018/1/10, 35, 2, 30
2018/1/11, 51, , 26
2018/1/12, 51, 2, 20
2018/1/13, 48, 18, 18
2018/1/14, 36, 15, 18
2018/1/15, 29, 10, 23
2018/1/16, 35, 15, 28
2018/1/17, 19, 17, 31
2018/1/18, 27, 21, 23
2018/1/19, 13, 14, 33
2018/1/20, 22, 11, 30
2018/1/21, 26, 9, 22
2018/1/22, 32, 14, 28
2018/1/23, 37, 9, 29
2018/1/24, 41, 12, 23
2018/1/25, 18, 14, 34
2018/1/26, 17, 9, 35
2018/1/27, 33, 12, 25
2018/1/28, 37, 18, 11
2018/1/29, 17, 20, 18
2018/1/30, 23, 19, 25
2018/1/31, 21, 11, 26
2018/2/1, 18, 21, 31
2018/2/2, 26, 14, 28
2018/2/3, 22, 12, 20
2018/2/4, 20, 16, 17
2018/2/5, 20, 24, 25
2018/2/6, 28, 21, 43
2018/2/7, 42, 16, 27
2018/2/8, 57, 12, 42
2018/2/9, 63, 10, 40
2018/2/10, 63, 7, 28
2018/2/11, 61, 17, 20
2018/2/12, 32, 11, 27
2018/2/13, 27, 17, 39
2018/2/14, 48, 16, 41
2018/2/15, 49, 16, 27
2018/2/16, 46, 13, 32
2018/2/17, 46, 16, 34
2018/2/18, 39, 24, 28
2018/2/19, 28, 16, 38
2018/2/20, 43, 18, 28
2018/2/21, 49, 21, 30
