date, pm10, o3, no2
2016/6/8, 26, 39, 38
2016/6/9, 31, 31, 27
2016/6/10, 33, 33, 24
2016/6/11, 27, 41, 22
2016/6/12, 18, 39, 17
2016/6/13, 17, 29, 25
2016/6/14, 26, 28, 31
2016/6/15, 31, 19, 35
2016/6/16, 20, 26, 30
2016/6/17, 20, 19, 31
2016/6/18, 19, 30, 23
2016/6/19, 21, 32, 20
2016/6/20, 22, 33, 33
2016/6/21, 22, 29, 28
2016/6/22, 19, 33, 43
2016/6/23, 28, 42, 43
2016/6/24, 30, 46, 48
2016/6/25, 35, 58, 28
2016/6/26, 39, 33, 17
2016/6/27, 17, 33, 37
2016/6/28, 20, 29, 29
2016/6/29, 21, 32, 35
2016/6/30, 24, 29, 42
2016/7/1, 26, 30, 33
2016/1/5, 59, 2, 23
2016/1/6, 71, 3, 22
2016/1/7, 72, 2, 23
2016/1/8, 75, 16, 28
2016/1/9, 43, 6, 35
2016/1/10, 28, 3, 27
2016/1/11, 44, , 36
2016/1/12, 31, 2, 35
2016/1/13, 28, 9, 28
2016/1/14, 20, 9, 32
2016/1/15, 28, 4, 28
2016/1/16, 40, 14, 26
2016/1/17, 30, 10, 24
2016/1/18, 33, 16, 34
2016/1/19, 24, 4, 35
2016/1/20, 40, 13, 34
2016/1/21, 33, 22, 35
2016/1/22, 27, 6, 42
2016/1/23, 43, 8, 30
2016/1/24, 46, 8, 26
2016/1/25, 32, 4, 27
2016/1/26, 30, 10, 27
2016/1/27, 37, 16, 26
2016/1/28, 31, 23, 28
2016/1/29, 31, 16, 29
2016/1/30, 34, 23, 17
2016/1/31, 12, 24, 16
2016/2/1, 19, 21, 27
2016/2/2, 24, 27, 22
2016/2/3, 21, 25, 22
2016/2/4, 27, 19, 25
2016/2/5, 21, 14, 28
2016/2/6, 24, 11, 29
2016/2/7, 26, 15, 24
2016/2/8, 28, 22, 26
2016/2/9, 16, 25, 23
2016/2/10, 20, 12, 35
2016/2/11, 27, 18, 29
2016/2/12, 22, 12, 38
2016/2/13, 45, 19, 31
2016/2/14, 47, 17, 21
2016/2/15, 49, 15, 24
2016/2/16, 38, 21, 32
2016/2/17, 32, 17, 30
2016/2/18, 36, 7, 34
2016/2/19, 46, 12, 33
2016/2/20, 45, 16, 21
2016/2/21, 29, 22, 15
2016/2/22, 12, 23, 25
2016/2/23, 14, 22, 30
2016/2/24, 30, 23, 29
2016/2/25, 27, 14, 38
2016/2/26, 31, 19, 36
2016/2/27, 39, 24, 33
2016/2/28, 34, 23, 23
2016/2/29, 46, 22, 22
2016/3/1, 36, 20, 30
2016/3/2, 40, 15, 29
2016/3/3, 34, 13, 42
2016/3/4, 39, 21, 36
2016/3/5, 32, 16, 25
2016/3/6, 46, 9, 21
2016/3/7, 43, 19, 38
2016/3/8, 44, 18, 47
2016/3/9, 56, 25, 35
2016/3/10, 51, 18, 24
2016/3/11, 43, 19, 21
2016/3/12, 34, 28, 18
2016/3/13, 25, 28, 18
2016/3/14, 25, 23, 33
2016/3/15, 38, 21, 21
2016/3/16, 25, 26, 26
2016/3/17, 32, 25, 49
2016/3/18, 51, 15, 31
2016/3/19, 35, 22, 26
2016/3/20, 29, 26, 19
2016/3/21, 20, 25, 29
2016/3/22, 23, 27, 32
2016/3/23, 22, 21, 36
2016/3/24, 27, 15, 35
2016/3/25, 33, 15, 23
2016/3/26, 33, 29, 27
2016/3/27, 26, 28, 20
2016/3/28, 35, 31, 26
2016/3/29, 17, 23, 28
2016/3/30, 12, 20, 31
2016/3/31, 19, 23, 38
2016/4/1, 27, 29, 29
2015/10/2, 42, 15, 52
2015/10/3, 57, 30, 42
2015/10/4, 46, 18, 36
2015/10/5, 52, 16, 43
2015/10/6, 58, 26, 32
2015/10/7, 55, 22, 26
2015/10/8, 54, 9, 31
2015/10/9, 28, 14, 30
2015/10/10, 41, 23, 20
2015/10/11, 34, 27, 17
2015/10/12, 28, 22, 27
2015/10/13, 33, 17, 27
2015/10/14, 32, 9, 22
2015/10/15, 35, 9, 26
2015/10/16, 44, 8, 33
2015/10/17, 37, 2, 23
2015/10/18, 30, 7, 21
2015/10/19, 25, , 28
2015/10/20, 29, 10, 26
2015/10/21, 26, 10, 28
2015/10/22, 28, 3, 25
2015/10/23, 34, 17, 31
2015/10/24, 34, 14, 40
2015/10/25, 41, 5, 25
2015/10/26, 34, 14, 38
2015/10/27, 34, 10, 33
2015/10/28, 41, 8, 31
2015/10/29, 53, 2, 32
2015/10/30, 57, , 32
2015/10/31, 55, 12, 30
2015/11/1, 63, 14, 33
2015/11/2, 50, 2, 45
2015/11/3, 55, 3, 42
2015/11/4, 55, , 43
2015/11/5, 62, , 38
2015/11/6, 59, 1, 32
2015/11/7, 53, , 
2015/11/10, 26, 17, 21
2015/11/11, 20, 10, 23
2015/11/12, 23, 19, 30
2015/11/13, 28, 10, 28
2015/11/14, 29, 22, 19
2015/11/15, 19, 18, 14
2015/11/16, 8, 7, 27
2015/11/17, 19, 11, 20
2015/11/18, 16, 22, 20
2015/11/19, 15, 21, 20
2015/11/20, 19, 13, 35
2015/11/21, 26, 12, 26
2015/11/22, 22, 17, 22
2015/11/23, 14, 6, 33
2015/11/24, 20, 6, 29
2015/11/25, 31, 6, 29
2015/11/26, 30, 4, 34
2015/11/27, 30, 2, 38
2015/11/28, 33, 8, 26
2015/11/29, 20, 19, 13
2015/11/30, 11, 26, 27
2015/12/1, 21, 18, 32
2015/12/2, 26, 11, 32
2015/12/3, 32, 14, 39
2015/12/4, 35, 8, 29
2015/12/5, 30, 15, 22
2015/12/6, 20, 18, 16
2015/12/7, 15, 14, 31
2015/12/8, 28, 2, 30
2015/12/9, 40, 8, 31
2015/12/10, 32, 6, 31
2015/12/11, 30, 8, 28
2015/12/12, 20, 18, 24
2015/12/13, 21, 18, 18
2015/12/14, 12, 2, 37
2015/12/15, 23, 2, 28
2015/12/16, 32, , 29
2015/12/17, 50, 4, 33
2015/12/18, 24, 4, 29
2015/12/19, 31, 7, 26
2015/12/20, 32, 7, 23
2015/12/21, 29, 11, 30
2015/12/22, 26, 20, 23
2015/12/23, 16, 17, 23
2015/12/24, 17, 9, 25
2015/12/25, 22, 25, 17
2015/12/26, 17, 21, 12
2015/12/27, 11, 15, 16
2015/12/28, 19, 18, 26
2015/12/29, 32, 17, 24
2015/12/30, 24, 9, 26
2015/12/31, 32, , 
2015/7/2, 22, 42, 37
2015/7/3, 28, 63, 50
2015/7/4, 35, 45, 45
2015/7/5, 38, 53, 29
2015/7/6, 39, 37, 30
2015/7/7, 33, 58, 53
2015/7/8, 35, 32, 25
2015/7/9, 33, 25, 21
2015/7/10, 21, 28, 21
2015/7/11, 25, 38, 28
2015/7/12, 27, 35, 31
2015/7/13, 33, 21, 26
2015/7/14, 25, 16, 32
2015/7/15, 25, 29, 29
2015/7/16, 24, 29, 37
2015/7/17, 29, 50, 47
2015/7/18, 32, 33, 34
2015/7/19, 35, 28, 20
2015/7/20, 21, 35, 27
2015/7/21, 21, 29, 29
2015/7/22, 25, 33, 38
2015/7/23, 29, 36, 26
2015/7/24, 27, 42, 31
2015/7/25, 24, 38, 19
2015/7/26, 26, 30, 13
2015/7/27, 15, 27, 31
2015/7/28, 22, 23, 19
2015/7/29, 18, 31, 22
2015/7/30, 22, 25, 22
2015/7/31, 20, 29, 26
2015/8/1, 22, 41, 35
2015/8/2, 29, 62, 32
2015/8/3, 33, 56, 45
2015/8/4, 41, 60, 53
2015/8/5, 49, 41, 28
2015/8/6, 30, 58, 44
2015/8/7, 38, 49, 63
2015/8/8, 48, 45, 18
2015/8/9, 40, , 
2015/8/12, 41, 38, 20
2015/8/13, 29, 38, 22
2015/8/14, 23, 59, 31
2015/8/15, 35, 57, 27
2015/8/16, 39, 54, 21
2015/8/17, 37, 35, 29
2015/8/18, 34, 31, 26
2015/8/19, 34, 16, 23
2015/8/20, 33, 38, 36
2015/8/21, 32, 43, 46
2015/8/22, 41, 45, 36
2015/8/23, 39, 41, 24
2015/8/24, 32, 39, 33
2015/8/25, 32, 30, 26
2015/8/26, 22, 30, 36
2015/8/27, 21, 29, 39
2015/8/28, 28, 24, 29
2015/8/29, 21, 39, 34
2015/8/30, 27, 38, 29
2015/8/31, 33, 47, 55
2015/9/1, 39, 39, 43
2015/9/2, 43, 27, 29
2015/9/3, 22, 22, 41
2015/9/4, 32, 28, 37
2015/9/5, 29, 26, 19
2015/9/6, 17, 23, 13
2015/9/7, 15, 22, 25
2015/9/8, 21, 24, 26
2015/9/9, 21, 22, 25
2015/9/10, 14, 26, 27
2015/9/11, 22, 17, 29
2015/9/12, 31, 32, 30
2015/9/13, 35, 29, 27
2015/9/14, 29, 28, 35
2015/9/15, 34, 23, 31
2015/9/16, 18, 24, 41
2015/9/17, 26, 22, 34
2015/9/18, 23, 26, 31
2015/9/19, 20, 23, 31
2015/9/20, 25, 22, 16
2015/9/21, 18, 21, 40
2015/9/22, 33, 22, 38
2015/9/23, 44, 16, 36
2015/9/24, 25, 16, 37
2015/9/25, 26, 18, 37
2015/9/26, 30, 24, 26
2015/9/27, 28, 23, 24
2015/9/28, 22, 21, 31
2015/9/29, 32, 19, 29
2015/9/30, 19, 23, 32
2015/10/1, 25, 20, 46
2015/4/2, 17, 27, 27
2015/4/3, 14, 27, 18
2015/4/4, 17, 28, 28
2015/4/5, 19, 31, 27
2015/4/6, 21, 29, 24
2015/4/7, 14, 28, 33
2015/4/8, 34, 23, 29
2015/4/9, 24, 29, 42
2015/4/10, 43, 33, 51
2015/4/11, 52, 41, 34
2015/4/12, 42, 33, 18
2015/4/13, 16, 29, 24
2015/4/14, 23, 27, 33
2015/4/15, 33, 37, 33
2015/4/16, 38, 34, 25
2015/4/17, 25, 29, 32
2015/4/18, 26, 30, 22
2015/4/19, 14, 37, 30
2015/4/20, 32, 34, 32
2015/4/21, 25, 38, 33
2015/4/22, 30, 31, 34
2015/4/23, 32, 36, 41
2015/4/24, 37, 38, 44
2015/4/25, 48, 50, 39
2015/4/26, 38, 33, 24
2015/4/27, 21, 16, 29
2015/4/28, 28, 21, 30
2015/4/29, 26, 30, 32
2015/4/30, 67, 25, 41
2015/5/1, 36, 31, 19
2015/5/2, 20, 33, 33
2015/5/3, 23, 41, 32
2015/5/4, 30, 32, 30
2015/5/5, 25, 21, 34
2015/5/6, 29, 38, 36
2015/5/7, 26, 31, 30
2015/5/8, 52, 35, 41
2015/5/9, 27, 35, 30
2015/5/10, 25, 32, 19
2015/5/11, 21, 33, 42
2015/5/12, 37, 42, 40
2015/5/13, 35, 31, 31
2015/5/14, 41, 28, 19
2015/5/15, 19, 31, 31
2015/5/16, 30, 32, 29
2015/5/17, 33, 32, 17
2015/5/18, 23, 15, 43
2015/5/19, 34, , 36
2015/5/20, 34, , 47
2015/5/21, 38, 32, 37
2015/5/22, 33, 37, 41
2015/5/23, 36, 34, 30
2015/5/24, 36, 40, 21
2015/5/25, 22, 40, 26
2015/5/26, 32, 26, 24
2015/5/27, 21, 27, 29
2015/5/28, 25, 31, 32
2015/5/29, 33, 36, 40
2015/5/30, 25, 32, 24
2015/5/31, 19, 40, 21
2015/6/1, 19, 28, 33
2015/6/2, 27, 36, 25
2015/6/3, 27, 30, 24
2015/6/4, 27, 33, 32
2015/6/5, 25, 60, 40
2015/6/6, 26, 61, 33
2015/6/7, 35, 43, 17
2015/6/8, 19, 35, 20
2015/6/9, 22, 38, 22
2015/6/10, 18, 38, 27
2015/6/11, 26, 50, 35
2015/6/12, 22, 57, 39
2015/6/13, 27, 53, 37
2015/6/14, 40, 37, 18
2015/6/15, 28, 32, 22
2015/6/16, 19, 29, 33
2015/6/17, 29, 36, 38
2015/6/18, 30, 28, 30
2015/6/19, 26, 22, 25
2015/6/20, 23, 21, 20
2015/6/21, 15, 26, 18
2015/6/22, 15, 20, 31
2015/6/23, 24, 14, 30
2015/6/24, 20, 20, 29
2015/6/25, 25, 31, 34
2015/6/26, 27, 38, 47
2015/6/27, 45, 33, 41
2015/6/28, 42, 27, 17
2015/6/29, 20, 38, 40
2015/6/30, 30, 32, 26
2015/7/1, 27, 37, 30
2015/1/2, 60, 15, 12
2015/1/3, 19, , 
2015/1/6, 28, 11, 33
2015/1/7, 28, 8, 33
2015/1/8, 29, 6, 27
2015/1/9, 19, 25, 21
2015/1/10, 17, 26, 16
2015/1/11, 12, 27, 13
2015/1/12, 17, 22, 23
2015/1/13, 12, 21, 23
2015/1/14, 14, 22, 28
2015/1/15, 15, 16, 29
2015/1/16, 13, 15, 37
2015/1/17, 25, 12, 33
2015/1/18, 32, 10, 30
2015/1/19, 35, 3, 36
2015/1/20, 40, 3, 34
2015/1/21, 41, 2, 30
2015/1/22, 41, 3, 23
2015/1/23, 36, 9, 23
2015/1/24, 29, 12, 27
2015/1/25, 31, 16, 23
2015/1/26, 24, 17, 29
2015/1/27, 26, 21, 31
2015/1/28, 20, 16, 30
2015/1/29, 32, 23, 26
2015/1/30, 18, 14, 36
2015/1/31, 23, 12, 28
2015/2/1, 27, 15, 23
2015/2/2, 28, 13, 30
2015/2/3, 30, 13, 34
2015/2/4, 28, 9, 29
2015/2/5, 21, 12, 28
2015/2/6, 25, 14, 28
2015/2/7, 43, 16, 26
2015/2/8, 35, 29, 15
2015/2/9, 22, 20, 30
2015/2/10, 19, 21, 33
2015/2/11, 30, 16, 36
2015/2/12, 43, 15, 31
2015/2/13, 50, 5, 35
2015/2/14, 49, 14, 35
2015/2/15, 52, 24, 27
2015/2/16, 61, 18, 28
2015/2/17, 61, 12, 33
2015/2/18, 60, 12, 33
2015/2/19, 57, 8, 31
2015/2/20, 58, 14, 34
2015/2/21, 67, 26, 27
2015/2/22, 35, 21, 30
2015/2/23, 29, 13, 33
2015/2/24, 39, 16, 35
2015/2/25, 49, 11, 44
2015/2/26, 58, 19, 45
2015/2/27, 57, 17, 41
2015/2/28, 51, 24, 30
2015/3/1, 33, 18, 22
2015/3/2, 22, 24, 31
2015/3/3, 24, 23, 27
2015/3/4, 28, 20, 30
2015/3/5, 24, 20, 33
2015/3/6, 26, 11, 38
2015/3/7, 42, 22, 31
2015/3/8, 41, 22, 30
2015/3/9, 30, 20, 36
2015/3/10, 39, 9, 32
2015/3/11, 44, 21, 31
2015/3/12, 37, 22, 26
2015/3/13, 22, 19, 29
2015/3/14, 26, 17, 23
2015/3/15, 34, 17, 17
2015/3/16, 32, 21, 25
2015/3/17, 48, 32, 35
2015/3/18, 47, 33, 38
2015/3/19, 43, 38, 49
2015/3/20, 54, 28, 62
2015/3/21, 64, 13, 25
2015/3/22, 41, 32, 21
2015/3/23, 13, 19, 38
2015/3/24, 34, 18, 41
2015/3/25, 57, 28, 38
2015/3/26, 60, 20, 36
2015/3/27, 53, 18, 30
2015/3/28, 36, 26, 25
2015/3/29, 27, 24, 17
2015/3/30, 16, 31, 21
2015/3/31, 11, 31, 22
2015/4/1, 17, 34, 23
2014/10/2, 46, 10, 53
2014/10/3, 53, 26, 35
2014/10/4, 35, 29, 35
2014/10/5, 47, 25, 28
2014/10/6, 46, 27, 33
2014/10/7, 52, 17, 32
2014/10/8, 52, 19, 36
2014/10/9, 30, 7, 38
2014/10/10, 37, 13, 37
2014/10/11, 27, 6, 34
2014/10/12, 38, 16, 24
2014/10/13, 27, 9, 37
2014/10/14, 37, 5, 37
2014/10/15, 32, 12, 39
2014/10/16, 31, 2, 42
2014/10/17, 33, 12, 35
2014/10/18, 35, 7, 31
2014/10/19, 39, 16, 23
2014/10/20, 23, 19, 23
2014/10/21, 21, 12, 29
2014/10/22, 23, 14, 27
2014/10/23, 20, 10, 41
2014/10/24, 34, 7, 28
2014/10/25, 31, 6, 26
2014/10/26, 36, 2, 27
2014/10/27, 34, 6, 37
2014/10/28, 33, 6, 36
2014/10/29, 41, 5, 31
2014/10/30, 46, , 37
2014/10/31, 47, 2, 34
2014/11/1, 46, 5, 40
2014/11/2, 43, 6, 31
2014/11/3, 32, 7, 30
2014/11/4, 30, 8, 37
2014/11/5, 45, 2, 33
2014/11/6, 45, 10, 38
2014/11/7, 27, 5, 38
2014/11/8, 38, 11, 33
2014/11/9, 38, 4, 28
2014/11/10, 37, 4, 33
2014/11/11, 39, 2, 34
2014/11/12, 34, 3, 33
2014/11/13, 54, , 31
2014/11/14, 67, 6, 27
2014/11/15, 54, 9, 24
2014/11/16, 48, 7, 22
2014/11/17, 46, 4, 32
2014/11/18, 35, 3, 18
2014/11/19, 46, 1, 21
2014/11/20, 42, , 23
2014/11/21, 50, 1, 32
2014/11/22, 46, 9, 26
2014/11/23, 30, 5, 16
2014/11/24, 37, 7, 34
2014/11/25, 33, 4, 38
2014/11/26, 32, 8, 37
2014/11/27, 30, 8, 32
2014/11/28, 54, 10, 25
2014/11/29, 48, 14, 29
2014/11/30, 43, 15, 19
2014/12/1, 45, 13, 26
2014/12/2, 46, 11, 28
2014/12/3, 49, 8, 26
2014/12/4, 60, 1, 28
2014/12/5, 67, , 33
2014/12/6, 65, 1, 26
2014/12/7, 42, 12, 28
2014/12/8, 28, 11, 31
2014/12/9, 27, 2, 36
2014/12/10, 43, 5, 29
2014/12/11, 29, 14, 32
2014/12/12, 21, 20, 24
2014/12/13, 14, 23, 27
2014/12/14, 19, 7, 28
2014/12/15, 32, 12, 35
2014/12/16, 25, 8, 31
2014/12/17, 29, 13, 32
2014/12/18, 25, 8, 28
2014/12/19, 19, 18, 27
2014/12/20, 14, 24, 19
2014/12/21, 16, 24, 16
2014/12/22, 20, 20, 19
2014/12/23, 10, 18, 17
2014/12/24, 12, 21, 17
2014/12/25, 12, 22, 14
2014/12/26, 18, 18, 24
2014/12/27, 15, 13, 26
2014/12/28, 26, 17, 22
2014/12/29, 35, , 
2014/8/21, 20, 28, 35
2014/8/22, 23, 31, 45
2014/8/23, 38, 30, 28
2014/8/24, 21, 28, 19
2014/8/25, 18, 31, 34
2014/8/26, 23, 31, 37
2014/8/27, 22, 28, 39
2014/8/28, 25, 38, 53
2014/8/29, 31, 15, 51
2014/8/30, 34, 23, 30
2014/8/31, 29, 17, 24
2014/9/1, 19, 13, 33
2014/9/2, 26, 24, 30
2014/9/3, 20, 26, 29
2014/9/4, 16, 31, 33
2014/9/5, 25, 37, 41
2014/9/6, 38, 43, 40
2014/9/7, 42, 38, 34
2014/9/8, 44, 29, 35
2014/9/9, 36, 25, 30
2014/9/10, 31, 20, 30
2014/9/11, 24, 21, 34
2014/9/12, 25, 23, 26
2014/9/13, 30, 23, 24
2014/9/14, 36, 24, 26
2014/9/15, 41, 34, 43
2014/9/16, 51, 36, 40
2014/9/17, 50, 38, 39
2014/9/18, 48, 35, 42
2014/9/19, 42, 16, 46
2014/9/20, 46, 7, 35
2014/9/21, 51, 22, 22
2014/9/22, 37, 21, 24
2014/9/23, 28, 22, 30
2014/9/24, 18, 14, 37
2014/9/25, 30, 13, 36
2014/9/26, 29, 8, 31
2014/9/27, 30, 19, 28
2014/9/28, 29, 24, 38
2014/9/29, 37, 13, 47
2014/9/30, 41, 10, 41
2014/10/1, 39, 11, 43
2020/1/1, , 17, 21
2019/1/1, , 21, 9
2018/1/1, , 29, 17
2017/12/4, , 14, 33
2017/9/11, , 17, 25
2017/2/13, , 16, 39
2016/1/4, , 6, 23
2015/11/9, , 16, 30
2015/8/11, , 48, 38
2015/1/1, , 14, 18
2015/1/5, , 15, 33
2014/8/20, , 22, 24
