date, pm25, pm10, o3, no2, so2, co
2016/4/28, 54, 12, 35, 21, 5, 
2016/4/29, 38, 15, 30, 22, 6, 
2016/4/30, 42, 14, 39, 16, 5, 
2016/5/1, 44, 10, 38, 10, 5, 
2016/5/2, 23, 12, 47, 15, 6, 
2016/5/3, 26, 15, 41, 31, 7, 
2016/5/4, 39, 23, 49, 37, 7, 
2016/5/5, 47, 24, 39, 36, 7, 
2016/5/6, 52, 16, 34, 24, 7, 
2016/5/7, 49, 13, 32, 16, 4, 
2016/5/8, 41, 10, 31, 14, 5, 
2016/5/9, 34, 9, 28, 20, 6, 
2016/5/10, 31, 13, 28, 25, 6, 
2016/5/11, 37, 11, 33, 25, 6, 
2016/5/12, 32, 10, 32, 22, 6, 
2016/5/13, 31, 11, 30, 24, 5, 
2016/5/14, 31, 10, 38, 19, 7, 
2016/5/15, 35, 12, 43, 20, 7, 
2016/5/16, 41, 14, 47, 16, 6, 
2016/5/17, 47, 17, 49, 26, 6, 
2016/5/18, 47, 25, 43, 35, 7, 
2016/5/19, 60, 16, 37, 20, 6, 
2016/5/20, 45, 17, 39, 24, 7, 
2016/5/21, 45, 28, 45, 34, 7, 
2016/5/22, 64, 23, 38, 16, 6, 
2016/5/23, 47, 16, 38, 20, 7, 
2016/5/24, 35, 27, 35, 30, 7, 
2016/5/25, 51, 18, 35, 22, 6, 
2016/5/26, 41, 22, 40, 28, 6, 
2016/5/27, 50, 26, 41, 31, 7, 
2016/5/28, 57, 16, 33, 23, 5, 
2016/5/29, 41, 10, 28, 15, 4, 
2016/5/30, 30, 13, 39, 21, 7, 
2016/5/31, 35, 11, 44, 19, 8, 
2016/6/1, 36, 15, 46, 23, 7, 
2016/6/2, 44, 16, 53, 28, 6, 
2016/6/3, 41, 31, 48, 37, 8, 
2016/6/4, 60, 21, 46, 24, 7, 
2016/6/5, 56, 19, 45, 18, 6, 
2016/6/6, 51, 25, 37, 30, 8, 
2016/6/7, 57, 21, 41, 27, 8, 
2016/6/8, 51, 26, 46, 39, 8, 
2016/6/9, 59, 32, 42, 38, 8, 
2016/6/10, 59, 31, 41, 32, 7, 
2016/6/11, 61, 20, 42, 17, 6, 
2016/6/12, 49, 18, 36, 18, 6, 
2016/6/13, 44, 19, 29, 16, 8, 
2016/6/14, 42, 20, 30, 18, 7, 
2016/6/15, 41, 17, 27, 18, 7, 
2016/6/16, 28, 17, 29, 20, 9, 
2016/6/17, 35, 15, 35, 21, 6, 
2016/6/18, 33, 13, 35, 11, 4, 
2016/6/19, 36, 12, 39, 12, 5, 
2016/6/20, 31, 16, 32, 22, 8, 
2016/6/21, 47, 20, 43, 23, 8, 
2016/6/22, 49, 21, 42, 22, 7, 
2016/6/23, 35, 30, 44, 25, 7, 
2016/6/24, 52, 37, 40, 41, 8, 
2016/6/25, 64, 26, 53, 18, 7, 
2016/6/26, 57, 24, 52, 13, 3, 
2016/6/27, 52, 26, 64, 20, 7, 
2016/6/28, 60, 42, 47, 31, 7, 
2016/6/29, 85, 49, 43, 32, 7, 
2016/6/30, 75, 30, 45, 31, 7, 
2016/7/1, 62, 26, 41, 31, 8, 
2016/1/5, 22, 10, 36, 24, 6, 
2016/1/6, 31, 8, 32, 17, 5, 
2016/1/7, 26, 9, 29, 15, 5, 
2016/1/8, 24, 11, 26, 20, 6, 
2016/1/9, 29, 9, 30, 20, 4, 
2016/1/10, 29, 8, 29, 12, 5, 
2016/1/11, 25, 12, 33, 21, 5, 
2016/1/12, 29, 19, 31, 29, 7, 
2016/1/13, 45, 29, 17, 40, 9, 
2016/1/14, 66, 31, 16, 38, 8, 
2016/1/15, 74, 14, 34, 24, 9, 
2016/1/16, 42, 10, 36, 27, 10, 
2016/1/17, 30, 20, 18, 31, 9, 
2016/1/18, 58, 21, 33, 30, 7, 
2016/1/19, 53, 26, 39, 37, 8, 
2016/1/20, 54, 33, 16, 38, 8, 
2016/1/21, 76, 34, 15, 30, 7, 
2016/1/22, 81, 41, 4, 32, 9, 
2016/1/23, 99, 30, 9, 36, 10, 
2016/1/24, 79, 25, 15, 32, 10, 
