date, pm25, o3, no2, so2, co
2018/10/11, 23, 8, , , 
2018/10/12, 15, 13, 1, , 
2018/10/13, 25, 12, 1, , 
2018/10/14, 24, 10, 1, , 
2018/10/15, 26, 14, 1, , 
2018/10/16, 30, 10, 1, , 
2018/10/20, 20, 9, 1, , 
2018/10/21, 27, 13, , , 
2018/10/22, 14, 11, 2, , 
2018/10/23, 20, 15, 2, , 
2018/10/24, 29, 12, 2, , 
2018/10/25, 12, 12, 4, , 
2018/10/26, 33, 10, 2, , 
2018/10/27, 40, 12, 1, , 
2018/10/28, 10, 13, 1, , 
2018/10/29, 15, 12, 1, , 
2018/10/30, 27, 14, 3, , 
2018/10/31, 26, 15, 3, , 
2018/11/1, 37, 14, 1, , 
2018/11/2, 33, 11, 1, , 
2018/11/3, 23, 12, 1, , 
2018/11/4, 21, 5, 4, , 
2018/11/5, 27, , , , 
2018/11/7, 18, 12, 2, , 
2018/11/8, 25, 11, 4, , 
2018/11/9, 23, 6, 3, , 
2018/11/10, 19, 13, , , 
2018/11/11, 21, 11, 3, , 
2018/11/12, 23, 9, 5, , 
2018/11/13, 30, 8, 2, , 
2018/11/14, 17, 10, 2, , 
2018/11/15, 31, 12, 3, , 
2018/11/16, 11, 9, 2, , 
2018/11/17, 17, 11, 3, , 
2018/11/18, 43, 10, 4, , 
2018/11/19, 47, 8, 5, , 
2018/11/20, 56, 13, 2, , 
2018/11/21, 33, 10, 1, , 
2018/11/22, 29, 13, 1, , 
2018/11/23, 29, 12, 1, , 
2018/11/24, 12, 10, 3, , 
2018/11/25, 14, 10, 2, , 
2018/11/26, 29, 7, 1, , 
2018/11/27, 25, 9, 1, , 
2018/11/28, 10, 10, 1, , 
2018/11/29, 19, 8, 3, , 
2018/11/30, 30, 4, 5, , 
2018/12/1, 50, 4, 3, , 
2018/12/2, 43, 1, 4, , 
2018/12/3, 27, 10, 2, , 
2018/12/4, 28, 9, 2, , 
2018/12/5, 18, 9, 1, , 
2018/12/6, 28, 9, 4, , 
2018/12/7, 30, 10, 5, , 
2018/12/8, 31, 11, 6, , 
2018/12/9, 31, 9, 2, , 
2018/12/10, 30, 10, 3, , 
2018/12/11, 41, 10, 7, , 
2018/12/12, 46, 7, 8, , 
2018/12/13, 47, 3, 10, , 
2018/12/14, 50, 4, 12, , 
2018/12/15, 58, 8, 6, , 
2018/12/16, 8, 8, 2, , 
2018/12/17, 11, 10, 2, , 
2018/12/18, 19, 12, 3, , 
2018/12/19, 32, 9, 7, , 
2018/12/20, 40, 9, 11, , 
2018/12/21, 27, 14, 3, , 
2018/12/22, 18, 10, 1, , 
2018/12/23, 20, 8, 2, , 
2018/12/24, 25, 11, 1, , 
2018/12/25, 30, 10, 2, , 
2018/12/26, 40, 9, 6, , 
2018/12/27, 44, 12, 6, , 
2018/12/28, 39, 9, 8, , 
2018/12/29, 17, 11, 3, , 
2018/12/30, 20, 7, 3, , 
2018/12/31, 32, , , , 
2018/7/2, 55, 25, 2, , 
2018/7/3, 51, 19, 2, , 
2018/7/4, 55, 13, 1, , 
2018/7/5, 35, 17, , , 
2018/7/6, 25, 17, 1, , 
2018/7/7, 29, 13, , , 
2018/7/8, 22, 17, 1, , 
2018/7/9, 18, 20, 2, , 
2018/7/10, 23, 26, 2, , 
2018/7/11, 41, 22, 2, , 
2018/7/12, 52, 22, 1, , 
2018/7/13, 49, 17, 1, , 
2018/7/14, 32, 23, 1, , 
2018/7/15, 28, 19, 1, , 
2018/7/16, 42, 22, 2, , 
2018/7/17, 50, 16, 2, , 
2018/7/18, 40, 18, 1, , 
2018/7/19, 22, 20, 2, , 
2018/7/20, 34, 23, 1, , 
2018/7/21, 32, 12, , , 
2018/7/22, 14, 15, 1, , 
2018/7/23, 21, 14, 2, , 
2018/7/24, 26, 11, 1, , 
2018/7/25, 17, 14, 2, , 
2018/7/26, 23, 21, 1, , 
2018/7/27, 29, 20, 2, , 
2018/7/28, 44, 16, 1, , 
2018/7/29, 30, 17, 1, , 
2018/7/30, 38, 13, , , 
2018/7/31, 21, 13, 1, , 
2018/8/1, 24, 13, , , 
2018/8/2, 27, 8, , , 
2018/8/3, 23, 8, , , 
2018/8/4, 23, 15, 1, , 
2018/8/5, 26, 19, 1, , 
2018/8/6, 38, 20, 2, , 
2018/8/7, 44, 16, 2, , 
2018/8/8, 40, 16, 2, , 
2018/8/9, 31, 17, 1, , 
2018/8/10, 35, 22, 2, , 
2018/8/11, 49, 21, 1, , 
2018/8/12, 49, 16, 1, , 
2018/8/13, 27, 18, 1, , 
2018/8/14, 23, 17, 2, , 
2018/8/15, 31, 23, 2, , 
2018/8/16, 46, 23, 2, , 
2018/8/17, 54, 19, 2, , 
2018/8/18, 59, 13, 1, , 
2018/8/19, 33, 14, 1, , 
2018/8/20, 35, 13, , , 
2018/8/21, 29, 13, 1, , 
2018/8/22, 31, 14, 1, , 
2018/8/23, 32, 15, 1, , 
2018/8/24, 37, 17, 2, , 
2018/8/25, 33, 19, 2, , 
2018/8/26, 32, 17, 1, , 
2018/8/27, 45, 26, 1, , 
2018/8/28, 74, 21, 2, , 
